# A part-of-speech dictionary that's used additionally to the binary dictionary (*.dict).
# This does not add words to the spell checker, see hunspell/spelling.txt for that.
# File Encoding: UTF-8
# Format: three semicolon-separated fields: fullform;baseform;postags
#from Freeling
#separatorRegExp=;
Illiat;Illiat;Z e sp
Illies;Illies;Z e sp
Illifaut;Illifaut;Z e sp
Illois;Illois;Z e sp
Illoud;Illoud;Z e sp
Illtal;Illtal;Z e sp
Illy;Illy;Z e sp
Illzach;Illzach;Z e sp
Ilonse;Ilonse;Z e sp
Imbleville;Imbleville;Z e sp
Imling;Imling;Z e sp
Imphy;Imphy;Z e sp
Imécourt;Imécourt;Z e sp
Inaumont;Inaumont;Z e sp
Incarville;Incarville;Z e sp
Incheville;Incheville;Z e sp
Inchy;Inchy;Z e sp
Incourt;Incourt;Z e sp
Indevillers;Indevillers;Z e sp
Indre;Indre;Z e sp
Ineuil;Ineuil;Z e sp
Ingenheim;Ingenheim;Z e sp
Ingersheim;Ingersheim;Z e sp
Inglange;Inglange;Z e sp
Ingolsheim;Ingolsheim;Z e sp
Ingouville;Ingouville;Z e sp
Ingrandes;Ingrandes;Z e sp
Ingrannes;Ingrannes;Z e sp
Ingré;Ingré;Z e sp
Inguiniel;Inguiniel;Z e sp
Ingwiller;Ingwiller;Z e sp
Innenheim;Innenheim;Z e sp
Innimond;Innimond;Z e sp
Inor;Inor;Z e sp
Insming;Insming;Z e sp
Insviller;Insviller;Z e sp
Intréville;Intréville;Z e sp
Inxent;Inxent;Z e sp
Ippling;Ippling;Z e sp
Ippécourt;Ippécourt;Z e sp
Iracoubo;Iracoubo;Z e sp
Irai;Irai;Z e sp
Irais;Irais;Z e sp
Irancy;Irancy;Z e sp
Irigny;Irigny;Z e sp
Irissarry;Irissarry;Z e sp
Irles;Irles;Z e sp
Irodouër;Irodouër;Z e sp
Iron;Iron;Z e sp
Irouléguy;Irouléguy;Z e sp
Irreville;Irreville;Z e sp
Irvillac;Irvillac;Z e sp
Isbergues;Isbergues;Z e sp
Isches;Isches;Z e sp
Isdes;Isdes;Z e sp
Isenay;Isenay;Z e sp
Island;Island;Z e sp
Isle;Isle;Z e sp
Isneauville;Isneauville;Z e sp
Isola;Isola;Z e sp
Ispagnac;Ispagnac;Z e sp
Ispoure;Ispoure;Z e sp
Isques;Isques;Z e sp
Issac;Issac;Z e sp
Issamoulenc;Issamoulenc;Z e sp
Issanlas;Issanlas;Z e sp
Issans;Issans;Z e sp
Issarlès;Issarlès;Z e sp
Isse;Isse;Z e sp
Issel;Issel;Z e sp
Issendolus;Issendolus;Z e sp
Issenhausen;Issenhausen;Z e sp
Issenheim;Issenheim;Z e sp
Issepts;Issepts;Z e sp
Isserpent;Isserpent;Z e sp
Isserteaux;Isserteaux;Z e sp
Issigeac;Issigeac;Z e sp
Issirac;Issirac;Z e sp
Issoire;Issoire;Z e sp
Issor;Issor;Z e sp
Issou;Issou;Z e sp
Issoudun;Issoudun;Z e sp
Issus;Issus;Z e sp
Issé;Issé;Z e sp
Istres;Istres;Z e sp
Isturits;Isturits;Z e sp
Isômes;Isômes;Z e sp
Itancourt;Itancourt;Z e sp
Iteuil;Iteuil;Z e sp
Ittenheim;Ittenheim;Z e sp
Itterswiller;Itterswiller;Z e sp
Itteville;Itteville;Z e sp
Itxassou;Itxassou;Z e sp
Itzac;Itzac;Z e sp
Ivergny;Ivergny;Z e sp
Iverny;Iverny;Z e sp
Iviers;Iviers;Z e sp
Iville;Iville;Z e sp
Ivors;Ivors;Z e sp
Ivory;Ivory;Z e sp
Ivrey;Ivrey;Z e sp
Iwuy;Iwuy;Z e sp
Izaourt;Izaourt;Z e sp
Izaux;Izaux;Z e sp
Izeaux;Izeaux;Z e sp
Izenave;Izenave;Z e sp
Izernore;Izernore;Z e sp
Izeron;Izeron;Z e sp
Izeste;Izeste;Z e sp
Izeure;Izeure;Z e sp
Izier;Izier;Z e sp
Izieu;Izieu;Z e sp
Izon;Izon;Z e sp
Izotges;Izotges;Z e sp
Izé;Izé;Z e sp
Jablines;Jablines;Z e sp
Jabrun;Jabrun;Z e sp
Jacou;Jacou;Z e sp
Jacque;Jacque;Z e sp
Jaignes;Jaignes;Z e sp
Jaillans;Jaillans;Z e sp
Jaillon;Jaillon;Z e sp
Jailly;Jailly;Z e sp
Jainvillotte;Jainvillotte;Z e sp
Jalesches;Jalesches;Z e sp
Jaleyrac;Jaleyrac;Z e sp
Jallanges;Jallanges;Z e sp
Jallans;Jallans;Z e sp
Jallaucourt;Jallaucourt;Z e sp
Jallerange;Jallerange;Z e sp
Jalognes;Jalognes;Z e sp
Jalogny;Jalogny;Z e sp
Jambles;Jambles;Z e sp
Jambville;Jambville;Z e sp
Jametz;Jametz;Z e sp
Jaméricourt;Jaméricourt;Z e sp
Janailhac;Janailhac;Z e sp
Janaillat;Janaillat;Z e sp
Jancigny;Jancigny;Z e sp
Jandun;Jandun;Z e sp
Janneyrias;Janneyrias;Z e sp
Jans;Jans;Z e sp
Janville;Janville;Z e sp
Janvilliers;Janvilliers;Z e sp
Janvry;Janvry;Z e sp
Janzé;Janzé;Z e sp
Jarcieu;Jarcieu;Z e sp
Jardin;Jardin;Z e sp
Jardres;Jardres;Z e sp
Jargeau;Jargeau;Z e sp
Jarjayes;Jarjayes;Z e sp
Jarménil;Jarménil;Z e sp
Jarnac;Jarnac;Z e sp
Jarnages;Jarnages;Z e sp
Jarnosse;Jarnosse;Z e sp
Jarny;Jarny;Z e sp
Jarret;Jarret;Z e sp
Jarrie;Jarrie;Z e sp
Jarrier;Jarrier;Z e sp
Jars;Jars;Z e sp
Jarsy;Jarsy;Z e sp
JarzéVillages;JarzéVillages;Z e sp
Jas;Jas;Z e sp
Jasney;Jasney;Z e sp
Jasseines;Jasseines;Z e sp
Jasseron;Jasseron;Z e sp
Jasses;Jasses;Z e sp
Jatxou;Jatxou;Z e sp
Jaucourt;Jaucourt;Z e sp
Jaudrais;Jaudrais;Z e sp
Jaujac;Jaujac;Z e sp
Jauldes;Jauldes;Z e sp
Jaulges;Jaulges;Z e sp
Jaulgonne;Jaulgonne;Z e sp
Jaulnay;Jaulnay;Z e sp
Jaulnes;Jaulnes;Z e sp
Jaulny;Jaulny;Z e sp
Jaulzy;Jaulzy;Z e sp
Jaunac;Jaunac;Z e sp
Jaure;Jaure;Z e sp
Jausiers;Jausiers;Z e sp
Jaux;Jaux;Z e sp
Jauzé;Jauzé;Z e sp
Javaugues;Javaugues;Z e sp
Javené;Javené;Z e sp
Javerdat;Javerdat;Z e sp
Javernant;Javernant;Z e sp
Javrezac;Javrezac;Z e sp
Jax;Jax;Z e sp
Jaxu;Jaxu;Z e sp
Jayac;Jayac;Z e sp
Jayat;Jayat;Z e sp
Jazeneuil;Jazeneuil;Z e sp
Jazennes;Jazennes;Z e sp
Jeancourt;Jeancourt;Z e sp
Jeandelaincourt;Jeandelaincourt;Z e sp
Jeandelize;Jeandelize;Z e sp
Jeanménil;Jeanménil;Z e sp
Jeantes;Jeantes;Z e sp
Jebsheim;Jebsheim;Z e sp
Jegun;Jegun;Z e sp
Jenlain;Jenlain;Z e sp
Jenzat;Jenzat;Z e sp
Jessains;Jessains;Z e sp
Jetterswiller;Jetterswiller;Z e sp
Jettingen;Jettingen;Z e sp
Jeugny;Jeugny;Z e sp
Jeumont;Jeumont;Z e sp
Jeurre;Jeurre;Z e sp
Jeuxey;Jeuxey;Z e sp
Jevoncourt;Jevoncourt;Z e sp
Jezainville;Jezainville;Z e sp
Joannas;Joannas;Z e sp
Job;Job;Z e sp
Joch;Joch;Z e sp
Joganville;Joganville;Z e sp
Joigny;Joigny;Z e sp
Joinville;Joinville;Z e sp
Joiselle;Joiselle;Z e sp
Jolimetz;Jolimetz;Z e sp
Jolivet;Jolivet;Z e sp
Jonage;Jonage;Z e sp
Joncels;Joncels;Z e sp
Joncherey;Joncherey;Z e sp
Jonchery;Jonchery;Z e sp
Jonchères;Jonchères;Z e sp
Joncourt;Joncourt;Z e sp
Joncreuil;Joncreuil;Z e sp
Joncy;Joncy;Z e sp
Jongieux;Jongieux;Z e sp
Jonquerettes;Jonquerettes;Z e sp
Jonquery;Jonquery;Z e sp
Jonquières;Jonquières;Z e sp
Jons;Jons;Z e sp
Jonval;Jonval;Z e sp
Jonvelle;Jonvelle;Z e sp
Jonzac;Jonzac;Z e sp
Jonzieux;Jonzieux;Z e sp
Joppécourt;Joppécourt;Z e sp
Jort;Jort;Z e sp
Jorxey;Jorxey;Z e sp
Josat;Josat;Z e sp
Josnes;Josnes;Z e sp
Josse;Josse;Z e sp
Josselin;Josselin;Z e sp
Jossigny;Jossigny;Z e sp
Jouac;Jouac;Z e sp
Jouaignes;Jouaignes;Z e sp
Jouancy;Jouancy;Z e sp
Jouarre;Jouarre;Z e sp
Jouaville;Jouaville;Z e sp
Joucas;Joucas;Z e sp
Joucou;Joucou;Z e sp
Joudes;Joudes;Z e sp
Joudreville;Joudreville;Z e sp
Jouey;Jouey;Z e sp
Jougne;Jougne;Z e sp
Jouhe;Jouhe;Z e sp
Jouhet;Jouhet;Z e sp
Jouillat;Jouillat;Z e sp
Jouques;Jouques;Z e sp
Jouqueviel;Jouqueviel;Z e sp
Jourgnac;Jourgnac;Z e sp
Journans;Journans;Z e sp
Journet;Journet;Z e sp
Journiac;Journiac;Z e sp
Journy;Journy;Z e sp
Joursac;Joursac;Z e sp
Joussé;Joussé;Z e sp
Jouvençon;Jouvençon;Z e sp
Joux;Joux;Z e sp
Jouy;Jouy;Z e sp
Joyeuse;Joyeuse;Z e sp
Joyeux;Joyeux;Z e sp
Joze;Joze;Z e sp
Jozerand;Jozerand;Z e sp
Jubainville;Jubainville;Z e sp
Jublains;Jublains;Z e sp
Jugazan;Jugazan;Z e sp
Jugy;Jugy;Z e sp
Juicq;Juicq;Z e sp
Juif;Juif;Z e sp
Juignac;Juignac;Z e sp
Juignettes;Juignettes;Z e sp
Juillac;Juillac;Z e sp
Juillan;Juillan;Z e sp
Juillenay;Juillenay;Z e sp
Juilles;Juilles;Z e sp
Juilley;Juilley;Z e sp
Juilly;Juilly;Z e sp
Juillé;Juillé;Z e sp
Jujols;Jujols;Z e sp
Jujurieux;Jujurieux;Z e sp
Julianges;Julianges;Z e sp
Julienne;Julienne;Z e sp
Juliénas;Juliénas;Z e sp
Jullianges;Jullianges;Z e sp
Jullié;Jullié;Z e sp
Jullouville;Jullouville;Z e sp
Jully;Jully;Z e sp
Julos;Julos;Z e sp
Julvécourt;Julvécourt;Z e sp
Jumeauville;Jumeauville;Z e sp
Jumeaux;Jumeaux;Z e sp
Jumel;Jumel;Z e sp
Jumelles;Jumelles;Z e sp
Jumencourt;Jumencourt;Z e sp
Jumigny;Jumigny;Z e sp
Jumièges;Jumièges;Z e sp
Junas;Junas;Z e sp
Junay;Junay;Z e sp
Juncalas;Juncalas;Z e sp
Jungholtz;Jungholtz;Z e sp
Junhac;Junhac;Z e sp
Juniville;Juniville;Z e sp
Jupilles;Jupilles;Z e sp
Juranville;Juranville;Z e sp
Jurançon;Jurançon;Z e sp
Jurvielle;Jurvielle;Z e sp
Jury;Jury;Z e sp
Juré;Juré;Z e sp
Juscorps;Juscorps;Z e sp
Jusix;Jusix;Z e sp
Jussac;Jussac;Z e sp
Jussarupt;Jussarupt;Z e sp
Jussas;Jussas;Z e sp
Jussey;Jussey;Z e sp
Jussy;Jussy;Z e sp
Justian;Justian;Z e sp
Justiniac;Justiniac;Z e sp
Jutigny;Jutigny;Z e sp
Juvaincourt;Juvaincourt;Z e sp
Juvancourt;Juvancourt;Z e sp
Juvanzé;Juvanzé;Z e sp
Juvardeil;Juvardeil;Z e sp
Juvelize;Juvelize;Z e sp
Juvignac;Juvignac;Z e sp
Juvignies;Juvignies;Z e sp
Juvigny;Juvigny;Z e sp
JuvignyVald'Andaine;JuvignyVald'Andaine;Z e sp
JuvignylesVallées;JuvignylesVallées;Z e sp
Juvigné;Juvigné;Z e sp
Juville;Juville;Z e sp
Juvinas;Juvinas;Z e sp
Juvrecourt;Juvrecourt;Z e sp
Juxue;Juxue;Z e sp
Juzanvigny;Juzanvigny;Z e sp
Juzennecourt;Juzennecourt;Z e sp
Juzes;Juzes;Z e sp
Juziers;Juziers;Z e sp
Jâlons;Jâlons;Z e sp
Jésonville;Jésonville;Z e sp
Jézeau;Jézeau;Z e sp
Jœuf;Jœuf;Z e sp
Kalhausen;Kalhausen;Z e sp
Kaltenhouse;Kaltenhouse;Z e sp
Kanfen;Kanfen;Z e sp
Kappelen;Kappelen;Z e sp
Kappelkinger;Kappelkinger;Z e sp
Katzenthal;Katzenthal;Z e sp
Kauffenheim;Kauffenheim;Z e sp
KaysersbergVignoble;KaysersbergVignoble;Z e sp
Keffenach;Keffenach;Z e sp
Kembs;Kembs;Z e sp
Kemplich;Kemplich;Z e sp
Kerbach;Kerbach;Z e sp
Kerbors;Kerbors;Z e sp
Kerfot;Kerfot;Z e sp
Kerfourn;Kerfourn;Z e sp
Kergloff;Kergloff;Z e sp
Kergrist;Kergrist;Z e sp
Kerien;Kerien;Z e sp
Kerlaz;Kerlaz;Z e sp
Kerlouan;Kerlouan;Z e sp
Kermoroc'h;Kermoroc'h;Z e sp
Kernascléden;Kernascléden;Z e sp
Kernilis;Kernilis;Z e sp
Kernouës;Kernouës;Z e sp
Kerpert;Kerpert;Z e sp
Kertzfeld;Kertzfeld;Z e sp
Kervignac;Kervignac;Z e sp
Keskastel;Keskastel;Z e sp
Kesseldorf;Kesseldorf;Z e sp
Kienheim;Kienheim;Z e sp
Kiffis;Kiffis;Z e sp
Killem;Killem;Z e sp
Kilstett;Kilstett;Z e sp
Kindwiller;Kindwiller;Z e sp
Kingersheim;Kingersheim;Z e sp
Kintzheim;Kintzheim;Z e sp
Kirchberg;Kirchberg;Z e sp
Kirchheim;Kirchheim;Z e sp
Kirrberg;Kirrberg;Z e sp
Kirrwiller;Kirrwiller;Z e sp
Kirschnaumen;Kirschnaumen;Z e sp
Kirviller;Kirviller;Z e sp
Klang;Klang;Z e sp
Kleingœft;Kleingœft;Z e sp
Knutange;Knutange;Z e sp
Knœringue;Knœringue;Z e sp
Knœrsheim;Knœrsheim;Z e sp
Kogenheim;Kogenheim;Z e sp
Kolbsheim;Kolbsheim;Z e sp
Koungou;Koungou;Z e sp
Kourou;Kourou;Z e sp
Krautergersheim;Krautergersheim;Z e sp
Krautwiller;Krautwiller;Z e sp
Kriegsheim;Kriegsheim;Z e sp
Kruth;Kruth;Z e sp
Kunheim;Kunheim;Z e sp
Kuntzig;Kuntzig;Z e sp
Kurtzenhouse;Kurtzenhouse;Z e sp
Kuttolsheim;Kuttolsheim;Z e sp
Kutzenhausen;Kutzenhausen;Z e sp
Kœnigsmacker;Kœnigsmacker;Z e sp
Kœstlach;Kœstlach;Z e sp
Kœtzingue;Kœtzingue;Z e sp
L'Absie;L'Absie;Z e sp
L'Aigle;L'Aigle;Z e sp
L'Aiguillon;L'Aiguillon;Z e sp
L'Albenc;L'Albenc;Z e sp
L'Albère;L'Albère;Z e sp
L'Arbresle;L'Arbresle;Z e sp
L'Escale;L'Escale;Z e sp
L'Escarène;L'Escarène;Z e sp
L'Estréchure;L'Estréchure;Z e sp
L'Habit;L'Habit;Z e sp
L'Herbergement;L'Herbergement;Z e sp
L'Herm;L'Herm;Z e sp
L'Hermenault;L'Hermenault;Z e sp
L'Hermitage;L'Hermitage;Z e sp
L'Horme;L'Horme;Z e sp
L'Hosmes;L'Hosmes;Z e sp
L'Hospitalet;L'Hospitalet;Z e sp
L'Houmeau;L'Houmeau;Z e sp
L'Huisserie;L'Huisserie;Z e sp
L'Hôpital;L'Hôpital;Z e sp
L'Hôtellerie;L'Hôtellerie;Z e sp
L'Orbrie;L'Orbrie;Z e sp
L'Union;L'Union;Z e sp
L'Écaille;L'Écaille;Z e sp
L'Échelle;L'Échelle;Z e sp
L'Écouvotte;L'Écouvotte;Z e sp
L'Éguille;L'Éguille;Z e sp
L'Épine;L'Épine;Z e sp
L'Étoile;L'Étoile;Z e sp
L'Étrat;L'Étrat;Z e sp
LaBachellerie;LaBachellerie;Z e sp
LaBaconnière;LaBaconnière;Z e sp
LaBaffe;LaBaffe;Z e sp
LaBaleine;LaBaleine;Z e sp
LaBalme;LaBalme;Z e sp
LaBarben;LaBarben;Z e sp
LaBarde;LaBarde;Z e sp
LaBaronnie;LaBaronnie;Z e sp
LaBarre;LaBarre;Z e sp
LaBassée;LaBassée;Z e sp
LaBastide;LaBastide;Z e sp
LaBastidonne;LaBastidonne;Z e sp
LaBauche;LaBauche;Z e sp
LaBaume;LaBaume;Z e sp
LaBaussaine;LaBaussaine;Z e sp
LaBazeuge;LaBazeuge;Z e sp
LaBazoge;LaBazoge;Z e sp
LaBazoque;LaBazoque;Z e sp
LaBeaume;LaBeaume;Z e sp
LaBelliole;LaBelliole;Z e sp
LaBellière;LaBellière;Z e sp
LaBerlière;LaBerlière;Z e sp
LaBernardière;LaBernardière;Z e sp
LaBerthenoux;LaBerthenoux;Z e sp
LaBesace;LaBesace;Z e sp
LaBezole;LaBezole;Z e sp
LaBigottière;LaBigottière;Z e sp
LaBiolle;LaBiolle;Z e sp
LaBloutière;LaBloutière;Z e sp
LaBoisse;LaBoisse;Z e sp
LaBoissière;LaBoissière;Z e sp
LaBonneville;LaBonneville;Z e sp
LaBosse;LaBosse;Z e sp
LaBouilladisse;LaBouilladisse;Z e sp
LaBouille;LaBouille;Z e sp
LaBouillie;LaBouillie;Z e sp
LaBoulaye;LaBoulaye;Z e sp
LaBourboule;LaBourboule;Z e sp
LaBourgonce;LaBourgonce;Z e sp
LaBoussac;LaBoussac;Z e sp
LaBouteille;LaBouteille;Z e sp
LaBouëxière;LaBouëxière;Z e sp
LaBresse;LaBresse;Z e sp
LaBretenière;LaBretenière;Z e sp
LaBridoire;LaBridoire;Z e sp
LaBrigue;LaBrigue;Z e sp
LaBrillanne;LaBrillanne;Z e sp
LaBrionne;LaBrionne;Z e sp
LaBroque;LaBroque;Z e sp
LaBrousse;LaBrousse;Z e sp
LaBruffière;LaBruffière;Z e sp
LaBruguière;LaBruguière;Z e sp
LaBruyère;LaBruyère;Z e sp
LaBrède;LaBrède;Z e sp
LaBrûlatte;LaBrûlatte;Z e sp
LaBuisse;LaBuisse;Z e sp
LaBuissière;LaBuissière;Z e sp
LaBurbanche;LaBurbanche;Z e sp
LaBussière;LaBussière;Z e sp
LaBuxerette;LaBuxerette;Z e sp
LaBâthie;LaBâthie;Z e sp
LaCabanasse;LaCabanasse;Z e sp
LaCaine;LaCaine;Z e sp
LaCalmette;LaCalmette;Z e sp
LaCalotterie;LaCalotterie;Z e sp
LaCambe;LaCambe;Z e sp
LaCanourgue;LaCanourgue;Z e sp
LaCapelle;LaCapelle;Z e sp
LaCassagne;LaCassagne;Z e sp
LaCassaigne;LaCassaigne;Z e sp
LaCauchie;LaCauchie;Z e sp
LaCaunette;LaCaunette;Z e sp
LaCaure;LaCaure;Z e sp
LaCavalerie;LaCavalerie;Z e sp
LaCelette;LaCelette;Z e sp
LaCelle;LaCelle;Z e sp
LaCellette;LaCellette;Z e sp
LaCerlangue;LaCerlangue;Z e sp
LaChabanne;LaChabanne;Z e sp
LaChailleuse;LaChailleuse;Z e sp
LaChaise;LaChaise;Z e sp
LaChamba;LaChamba;Z e sp
LaChambonie;LaChambonie;Z e sp
LaChambre;LaChambre;Z e sp
LaChampenoise;LaChampenoise;Z e sp
LaChapelaude;LaChapelaude;Z e sp
LaChapelle;LaChapelle;Z e sp
LaChapelleduLouduLac;LaChapelleduLouduLac;Z e sp
LaChapelotte;LaChapelotte;Z e sp
LaCharce;LaCharce;Z e sp
LaCharme;LaCharme;Z e sp
LaCharmée;LaCharmée;Z e sp
LaChassagne;LaChassagne;Z e sp
LaChaudière;LaChaudière;Z e sp
LaChaulme;LaChaulme;Z e sp
LaChaume;LaChaume;Z e sp
LaChaumusse;LaChaumusse;Z e sp
LaChaussade;LaChaussade;Z e sp
LaChaussée;LaChaussée;Z e sp
LaChaux;LaChaux;Z e sp
LaChavanne;LaChavanne;Z e sp
LaChavatte;LaChavatte;Z e sp
LaChenalotte;LaChenalotte;Z e sp
LaCheppe;LaCheppe;Z e sp
LaChevallerais;LaChevallerais;Z e sp
LaChevillotte;LaChevillotte;Z e sp
LaChevrolière;LaChevrolière;Z e sp
LaChomette;LaChomette;Z e sp
LaChâtaigneraie;LaChâtaigneraie;Z e sp
LaChâtelaine;LaChâtelaine;Z e sp
LaChâtre;LaChâtre;Z e sp
LaChèvrerie;LaChèvrerie;Z e sp
LaChèze;LaChèze;Z e sp
LaCiotat;LaCiotat;Z e sp
LaClayette;LaClayette;Z e sp
LaClisse;LaClisse;Z e sp
LaClotte;LaClotte;Z e sp
LaClusaz;LaClusaz;Z e sp
LaCollancelle;LaCollancelle;Z e sp
LaColombe;LaColombe;Z e sp
LaComelle;LaComelle;Z e sp
LaCompôte;LaCompôte;Z e sp
LaComté;LaComté;Z e sp
LaCopechagnière;LaCopechagnière;Z e sp
LaCoquille;LaCoquille;Z e sp
LaCorbière;LaCorbière;Z e sp
LaCoucourde;LaCoucourde;Z e sp
LaCoulonche;LaCoulonche;Z e sp
LaCourneuve;LaCourneuve;Z e sp
LaCouronne;LaCouronne;Z e sp
LaCourtine;LaCourtine;Z e sp
LaCourtète;LaCourtète;Z e sp
LaCouture;LaCouture;Z e sp
LaCouvertoirade;LaCouvertoirade;Z e sp
LaCouyère;LaCouyère;Z e sp
LaCrau;LaCrau;Z e sp
LaCresse;LaCresse;Z e sp
LaCreuse;LaCreuse;Z e sp
LaCrique;LaCrique;Z e sp
LaCroisille;LaCroisille;Z e sp
LaCroixille;LaCroixille;Z e sp
LaCropte;LaCropte;Z e sp
LaCrouzille;LaCrouzille;Z e sp
LaCrèche;LaCrèche;Z e sp
LaCôte;LaCôte;Z e sp
LaDemie;LaDemie;Z e sp
LaDestrousse;LaDestrousse;Z e sp
LaDevise;LaDevise;Z e sp
LaDominelais;LaDominelais;Z e sp
LaDornac;LaDornac;Z e sp
LaDorée;LaDorée;Z e sp
LaDouze;LaDouze;Z e sp
LaDrenne;LaDrenne;Z e sp
LaDésirade;LaDésirade;Z e sp
LaFajolle;LaFajolle;Z e sp
LaFalaise;LaFalaise;Z e sp
LaFaloise;LaFaloise;Z e sp
LaFarlède;LaFarlède;Z e sp
LaFaurie;LaFaurie;Z e sp
LaFavière;LaFavière;Z e sp
LaFaye;LaFaye;Z e sp
LaFermeté;LaFermeté;Z e sp
LaFerrière;LaFerrière;Z e sp
LaFerté;LaFerté;Z e sp
LaFertéMacé;LaFertéMacé;Z e sp
LaFeuillade;LaFeuillade;Z e sp
LaFeuillie;LaFeuillie;Z e sp
LaFeuillée;LaFeuillée;Z e sp
LaFlachère;LaFlachère;Z e sp
LaFlamengrie;LaFlamengrie;Z e sp
LaFlotte;LaFlotte;Z e sp
LaFlèche;LaFlèche;Z e sp
LaFolie;LaFolie;Z e sp
LaFontelaye;LaFontelaye;Z e sp
LaFontenelle;LaFontenelle;Z e sp
LaForce;LaForce;Z e sp
LaForclaz;LaForclaz;Z e sp
LaForestière;LaForestière;Z e sp
LaForge;LaForge;Z e sp
LaForie;LaForie;Z e sp
LaForteresse;LaForteresse;Z e sp
LaFouillade;LaFouillade;Z e sp
LaFouillouse;LaFouillouse;Z e sp
LaFramboisière;LaFramboisière;Z e sp
LaFrancheville;LaFrancheville;Z e sp
LaFrasnée;LaFrasnée;Z e sp
LaFreissinouse;LaFreissinouse;Z e sp
LaFresnais;LaFresnais;Z e sp
LaFrette;LaFrette;Z e sp
LaFrénaye;LaFrénaye;Z e sp
LaFère;LaFère;Z e sp
LaFérée;LaFérée;Z e sp
LaGacilly;LaGacilly;Z e sp
LaGaillarde;LaGaillarde;Z e sp
LaGarde;LaGarde;Z e sp
LaGarnache;LaGarnache;Z e sp
LaGaubretière;LaGaubretière;Z e sp
LaGaudaine;LaGaudaine;Z e sp
LaGaude;LaGaude;Z e sp
LaGenevraie;LaGenevraie;Z e sp
LaGenevraye;LaGenevraye;Z e sp
LaGenevroye;LaGenevroye;Z e sp
LaGeneytouse;LaGeneytouse;Z e sp
LaGenétouze;LaGenétouze;Z e sp
LaGenête;LaGenête;Z e sp
LaGiettaz;LaGiettaz;Z e sp
LaGimond;LaGimond;Z e sp
LaGodefroy;LaGodefroy;Z e sp
LaGodivelle;LaGodivelle;Z e sp
LaGonfrière;LaGonfrière;Z e sp
LaGorgue;LaGorgue;Z e sp
LaGouesnière;LaGouesnière;Z e sp
LaGoulafrière;LaGoulafrière;Z e sp
LaGoutelle;LaGoutelle;Z e sp
LaGrandville;LaGrandville;Z e sp
LaGrange;LaGrange;Z e sp
LaGrave;LaGrave;Z e sp
LaGravelle;LaGravelle;Z e sp
LaGresle;LaGresle;Z e sp
LaGrigonnais;LaGrigonnais;Z e sp
LaGrimaudière;LaGrimaudière;Z e sp
LaGroise;LaGroise;Z e sp
LaGroutte;LaGroutte;Z e sp
LaGuerche;LaGuerche;Z e sp
LaGuiche;LaGuiche;Z e sp
LaGuierche;LaGuierche;Z e sp
LaGuillermie;LaGuillermie;Z e sp
LaGuérinière;LaGuérinière;Z e sp
LaHague;LaHague;Z e sp
LaHallotière;LaHallotière;Z e sp
LaHarengère;LaHarengère;Z e sp
LaHarmoye;LaHarmoye;Z e sp
LaHauteville;LaHauteville;Z e sp
LaHaye;LaHaye;Z e sp
LaHerlière;LaHerlière;Z e sp
LaHeunière;LaHeunière;Z e sp
LaHoguette;LaHoguette;Z e sp
LaHorgne;LaHorgne;Z e sp
LaHoublonnière;LaHoublonnière;Z e sp
LaHoussaye;LaHoussaye;Z e sp
LaHoussière;LaHoussière;Z e sp
LaHoussoye;LaHoussoye;Z e sp
LaHérelle;LaHérelle;Z e sp
LaHérie;LaHérie;Z e sp
LaJard;LaJard;Z e sp
LaJarne;LaJarne;Z e sp
LaJarrie;LaJarrie;Z e sp
LaJaudonnière;LaJaudonnière;Z e sp
LaJavie;LaJavie;Z e sp
LaJonchère;LaJonchère;Z e sp
LaLaigne;LaLaigne;Z e sp
LaLandec;LaLandec;Z e sp
LaLatette;LaLatette;Z e sp
LaLaupie;LaLaupie;Z e sp
LaLimouzinière;LaLimouzinière;Z e sp
LaLivinière;LaLivinière;Z e sp
LaLlagonne;LaLlagonne;Z e sp
LaLoge;LaLoge;Z e sp
LaLonde;LaLonde;Z e sp
LaLongeville;LaLongeville;Z e sp
LaLongine;LaLongine;Z e sp
LaLongueville;LaLongueville;Z e sp
LaLoubière;LaLoubière;Z e sp
LaLoupe;LaLoupe;Z e sp
LaLoye;LaLoye;Z e sp
LaLuzerne;LaLuzerne;Z e sp
LaLéchère;LaLéchère;Z e sp
LaMachine;LaMachine;Z e sp
LaMadeleine;LaMadeleine;Z e sp
LaMagdeleine;LaMagdeleine;Z e sp
LaMalachère;LaMalachère;Z e sp
LaMalhoure;LaMalhoure;Z e sp
LaMalmaison;LaMalmaison;Z e sp
LaMalène;LaMalène;Z e sp
LaMancelière;LaMancelière;Z e sp
LaMarche;LaMarche;Z e sp
LaMarne;LaMarne;Z e sp
LaMarre;LaMarre;Z e sp
LaMartre;LaMartre;Z e sp
LaMartyre;LaMartyre;Z e sp
LaMaxe;LaMaxe;Z e sp
LaMeauffe;LaMeauffe;Z e sp
LaMerlatière;LaMerlatière;Z e sp
LaMesnière;LaMesnière;Z e sp
LaMeurdraquière;LaMeurdraquière;Z e sp
LaMeyze;LaMeyze;Z e sp
LaMilesse;LaMilesse;Z e sp
LaMoncelle;LaMoncelle;Z e sp
LaMonselie;LaMonselie;Z e sp
LaMontagne;LaMontagne;Z e sp
LaMorte;LaMorte;Z e sp
LaMotte;LaMotte;Z e sp
